number,file,label,group,color
1,andalusian_match_declarative-broad-focus_Ana-lleva-el-abrigo.wav,*,1,Blue
2,andalusian_match_declarative-broad-focus_Daniel-iba-a-Bolivia.wav,*,1,Green
3,andalusian_match_declarative-broad-focus_David-leia-el-libro.wav,*,1,Magenta
4,andalusian_match_declarative-broad-focus_Emilio-ama-la-marcha.wav,*,1,Black
5,andalusian_match_declarative-broad-focus_Manuela-vende-el-carro.wav,*,1,Lime
6,andalusian_match_declarative-broad-focus_Maria-bebe-el-vino.wav,*,1,Purple
7,andalusian_match_declarative-broad-focus_Mariano-habla-del-tiempo.wav,*,1,Teal
8,andalusian_match_declarative-broad-focus_Marta-abre-el-regalo.wav,*,1,Navy
9,andalusian_match_declarative-narrow-focus_Ana-lleva-el-abrigo.wav,*,1,Pink
10,andalusian_match_declarative-narrow-focus_Daniel-iba-a-Bolivia.wav,*,1,Maroon
11,andalusian_match_declarative-narrow-focus_David-leia-el-libro.wav,*,1,Olive
12,andalusian_match_declarative-narrow-focus_Emilio-ama-la-marcha.wav,*,1,Grey
13,andalusian_match_declarative-narrow-focus_Manuela-vende-el-carro.wav,*,1,Red
14,andalusian_match_declarative-narrow-focus_Maria-bebe-el-vino.wav,*,1,Blue
15,andalusian_match_declarative-narrow-focus_Mariano-habla-del-tiempo.wav,*,1,Green
16,andalusian_match_declarative-narrow-focus_Marta-abre-el-regalo.wav,*,1,Magenta
17,andalusian_match_interrogative-partial-wh_Cuando-bebia-el-vino.wav,*,1,Black
18,andalusian_match_interrogative-partial-wh_Cuando-leia-el-libro.wav,*,1,Lime
19,andalusian_match_interrogative-partial-wh_Cuando-lleva-el-abrigo.wav,*,1,Purple
20,andalusian_match_interrogative-partial-wh_Cuando-vendia-el-carro.wav,*,1,Teal
21,andalusian_match_interrogative-partial-wh_Por-que-abre-el-regalo.wav,*,1,Navy
22,andalusian_match_interrogative-partial-wh_Por-que-ama-la-navidad.wav,*,1,Pink
23,andalusian_match_interrogative-partial-wh_Por-que-hablaba-del-agua.wav,*,1,Maroon
24,andalusian_match_interrogative-partial-wh_Por-que-iba-a-Bolivia.wav,*,1,Olive
25,andalusian_match_interrogative-total-yn_Ana-lleva-el-abrigo.wav,*,1,Grey
26,andalusian_match_interrogative-total-yn_Daniel-iba-a-Bolivia.wav,*,1,Red
27,andalusian_match_interrogative-total-yn_David-leia-el-libro.wav,*,1,Blue
28,andalusian_match_interrogative-total-yn_Emilio-ama-la-marcha.wav,*,1,Green
29,andalusian_match_interrogative-total-yn_Manuela-vende-el-carro.wav,*,1,Magenta
30,andalusian_match_interrogative-total-yn_Maria-bebe-el-vino.wav,*,1,Black
31,andalusian_match_interrogative-total-yn_Mariano-habla-del-tiempo.wav,*,1,Lime
32,andalusian_match_interrogative-total-yn_Marta-abre-el-regalo.wav,*,1,Purple
33,andalusian_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien.wav,*,1,Teal
34,andalusian_mismatch_declarative-broad-focus_El-hombre-mira-la-luna.wav,*,1,Navy
35,andalusian_mismatch_declarative-broad-focus_El-nino-oye-el-rio.wav,*,1,Pink
36,andalusian_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris.wav,*,1,Maroon
37,andalusian_mismatch_declarative-broad-focus_La-nina-lava-el-plato.wav,*,1,Olive
38,andalusian_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta.wav,*,1,Grey
39,andalusian_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago.wav,*,1,Red
40,andalusian_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia.wav,*,1,Blue
41,andalusian_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien.wav,*,1,Green
42,andalusian_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna.wav,*,1,Magenta
43,andalusian_mismatch_declarative-narrow-focus_El-nino-oye-el-rio.wav,*,1,Black
44,andalusian_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris.wav,*,1,Lime
45,andalusian_mismatch_declarative-narrow-focus_La-nina-lava-el-plato.wav,*,1,Purple
46,andalusian_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta.wav,*,1,Teal
47,andalusian_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago.wav,*,1,Navy
48,andalusian_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia.wav,*,1,Pink
49,andalusian_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta.wav,*,1,Maroon
50,andalusian_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato.wav,*,1,Olive
51,andalusian_mismatch_interrogative-partial-wh_Cuando-miraba-la-luna.wav,*,1,Grey
52,andalusian_mismatch_interrogative-partial-wh_Por-que-desayuna-muy-bien.wav,*,1,Red
53,andalusian_mismatch_interrogative-partial-wh_Por-que-odiaba-la-lluvia.wav,*,1,Blue
54,andalusian_mismatch_interrogative-partial-wh_Por-que-oia-el-rio.wav,*,1,Green
55,andalusian_mismatch_interrogative-partial-wh_Por-que-venia-del-lago.wav,*,1,Magenta
56,andalusian_mismatch_interrogative-partial-wh_Por-que-vivia-en-Paris.wav,*,1,Black
57,andalusian_mismatch_interrogative-total-yn_El-bebe-comia-muy-bien.wav,*,1,Lime
58,andalusian_mismatch_interrogative-total-yn_El-hombre-mira-la-luna.wav,*,1,Purple
59,andalusian_mismatch_interrogative-total-yn_El-nino-oye-el-rio.wav,*,1,Teal
60,andalusian_mismatch_interrogative-total-yn_La-maestra-vive-en-Paris.wav,*,1,Navy
61,andalusian_mismatch_interrogative-total-yn_La-nina-lava-el-plato.wav,*,1,Pink
62,andalusian_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta.wav,*,1,Maroon
63,andalusian_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago.wav,*,1,Olive
64,andalusian_mismatch_interrogative-total-yn_Mi-tia-odia-la-lluvia.wav,*,1,Grey
65,andalusian_statement_filler_Alberto-nunca-se-afeita.wav,*,1,Red
66,argentine_match_declarative-broad-focus_Ana-lleva-el-abrigo.wav,*,1,Blue
67,argentine_match_declarative-broad-focus_Daniel-iba-a-Bolivia.wav,*,1,Green
68,argentine_match_declarative-broad-focus_David-leia-el-libro.wav,*,1,Magenta
69,argentine_match_declarative-broad-focus_Emilio-ama-la-marcha.wav,*,1,Black
70,argentine_match_declarative-broad-focus_Manuela-vende-el-carro.wav,*,1,Lime
71,argentine_match_declarative-broad-focus_Maria-bebe-el-vino.wav,*,1,Purple
72,argentine_match_declarative-broad-focus_Mariano-habla-del-tiempo.wav,*,1,Teal
73,argentine_match_declarative-broad-focus_Marta-abre-el-regalo.wav,*,1,Navy
74,argentine_match_declarative-narrow-focus_Ana-lleva-el-abrigo.wav,*,1,Pink
75,argentine_match_declarative-narrow-focus_Daniel-iba-a-Bolivia.wav,*,1,Maroon
76,argentine_match_declarative-narrow-focus_David-leia-el-libro.wav,*,1,Olive
77,argentine_match_declarative-narrow-focus_Emilio-ama-la-marcha.wav,*,1,Grey
78,argentine_match_declarative-narrow-focus_Manuela-vende-el-carro.wav,*,1,Red
79,argentine_match_declarative-narrow-focus_Maria-bebe-el-vino.wav,*,1,Blue
80,argentine_match_declarative-narrow-focus_Mariano-habla-del-tiempo.wav,*,1,Green
81,argentine_match_declarative-narrow-focus_Marta-abre-el-regalo.wav,*,1,Magenta
82,argentine_match_interrogative-partial-wh_Cuando-bebia-el-vino.wav,*,1,Black
83,argentine_match_interrogative-partial-wh_Cuando-leia-el-libro.wav,*,1,Lime
84,argentine_match_interrogative-partial-wh_Cuando-lleva-el-abrigo.wav,*,1,Purple
85,argentine_match_interrogative-partial-wh_Cuando-vendia-el-carro.wav,*,1,Teal
86,argentine_match_interrogative-partial-wh_Por-que-abre-el-regalo.wav,*,1,Navy
87,argentine_match_interrogative-partial-wh_Por-que-ama-la-navidad.wav,*,1,Pink
88,argentine_match_interrogative-partial-wh_Por-que-hablaba-del-agua.wav,*,1,Maroon
89,argentine_match_interrogative-partial-wh_Por-que-iba-a-Bolivia.wav,*,1,Olive
90,argentine_match_interrogative-total-yn_Ana-lleva-el-abrigo.wav,*,1,Grey
91,argentine_match_interrogative-total-yn_Daniel-iba-a-Bolivia.wav,*,1,Red
92,argentine_match_interrogative-total-yn_David-leia-el-libro.wav,*,1,Blue
93,argentine_match_interrogative-total-yn_Emilio-ama-la-marcha.wav,*,1,Green
94,argentine_match_interrogative-total-yn_Manuela-vende-el-carro.wav,*,1,Magenta
95,argentine_match_interrogative-total-yn_Maria-bebe-el-vino.wav,*,1,Black
96,argentine_match_interrogative-total-yn_Mariano-habla-del-tiempo.wav,*,1,Lime
97,argentine_match_interrogative-total-yn_Marta-abre-el-regalo.wav,*,1,Purple
98,argentine_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien.wav,*,1,Teal
99,argentine_mismatch_declarative-broad-focus_El-hombre-mira-la-luna.wav,*,1,Navy
100,argentine_mismatch_declarative-broad-focus_El-nino-oye-el-rio.wav,*,1,Pink
101,argentine_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris.wav,*,1,Maroon
102,argentine_mismatch_declarative-broad-focus_La-nina-lava-el-plato.wav,*,1,Olive
103,argentine_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta.wav,*,1,Grey
104,argentine_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago.wav,*,1,Red
105,argentine_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia.wav,*,1,Blue
106,argentine_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien.wav,*,1,Green
107,argentine_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna.wav,*,1,Magenta
108,argentine_mismatch_declarative-narrow-focus_El-nino-oye-el-rio.wav,*,1,Black
109,argentine_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris.wav,*,1,Lime
110,argentine_mismatch_declarative-narrow-focus_La-nina-lava-el-plato.wav,*,1,Purple
111,argentine_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta.wav,*,1,Teal
112,argentine_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago.wav,*,1,Navy
113,argentine_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia.wav,*,1,Pink
114,argentine_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta.wav,*,1,Maroon
115,argentine_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato.wav,*,1,Olive
116,argentine_mismatch_interrogative-partial-wh_Cuando-miraba-la-luna.wav,*,1,Grey
117,argentine_mismatch_interrogative-partial-wh_Por-que-desayuna-muy-bien.wav,*,1,Red
118,argentine_mismatch_interrogative-partial-wh_Por-que-odiaba-la-lluvia.wav,*,1,Blue
119,argentine_mismatch_interrogative-partial-wh_Por-que-oia-el-rio.wav,*,1,Green
120,argentine_mismatch_interrogative-partial-wh_Por-que-venia-del-lago.wav,*,1,Magenta
121,argentine_mismatch_interrogative-partial-wh_Por-que-vivia-en-Paris.wav,*,1,Black
122,argentine_mismatch_interrogative-total-yn_El-bebe-comia-muy-bien.wav,*,1,Lime
123,argentine_mismatch_interrogative-total-yn_El-hombre-mira-la-luna.wav,*,1,Purple
124,argentine_mismatch_interrogative-total-yn_El-nino-oye-el-rio.wav,*,1,Teal
125,argentine_mismatch_interrogative-total-yn_La-maestra-vive-en-Paris.wav,*,1,Navy
126,argentine_mismatch_interrogative-total-yn_La-nina-lava-el-plato.wav,*,1,Pink
127,argentine_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta.wav,*,1,Maroon
128,argentine_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago.wav,*,1,Olive
129,argentine_mismatch_interrogative-total-yn_Mi-tia-odia-la-lluvia.wav,*,1,Grey
130,argentine_question_filler_Mi-vecino-habla-mucho.wav,*,1,Red
131,castilian_match_declarative-broad-focus_Ana-lleva-el-abrigo.wav,*,1,Blue
132,castilian_match_declarative-broad-focus_Daniel-iba-a-Bolivia.wav,*,1,Green
133,castilian_match_declarative-broad-focus_David-leia-el-libro.wav,*,1,Magenta
134,castilian_match_declarative-broad-focus_Emilio-ama-la-marcha.wav,*,1,Black
135,castilian_match_declarative-broad-focus_Manuela-vende-el-carro.wav,*,1,Lime
136,castilian_match_declarative-broad-focus_Maria-bebe-el-vino.wav,*,1,Purple
137,castilian_match_declarative-broad-focus_Mariano-habla-del-tiempo.wav,*,1,Teal
138,castilian_match_declarative-broad-focus_Marta-abre-el-regalo.wav,*,1,Navy
139,castilian_match_declarative-narrow-focus_Ana-lleva-el-abrigo.wav,*,1,Pink
140,castilian_match_declarative-narrow-focus_Daniel-iba-a-Bolivia.wav,*,1,Maroon
141,castilian_match_declarative-narrow-focus_David-leia-el-libro.wav,*,1,Olive
142,castilian_match_declarative-narrow-focus_Emilio-ama-la-marcha.wav,*,1,Grey
143,castilian_match_declarative-narrow-focus_Manuela-vende-el-carro.wav,*,1,Red
144,castilian_match_declarative-narrow-focus_Maria-bebe-el-vino.wav,*,1,Blue
145,castilian_match_declarative-narrow-focus_Mariano-habla-del-tiempo.wav,*,1,Green
146,castilian_match_declarative-narrow-focus_Marta-abre-el-regalo.wav,*,1,Magenta
147,castilian_match_interrogative-partial-wh_Cuando-bebia-el-vino.wav,*,1,Black
148,castilian_match_interrogative-partial-wh_Cuando-leia-el-libro.wav,*,1,Lime
149,castilian_match_interrogative-partial-wh_Cuando-lleva-el-abrigo.wav,*,1,Purple
150,castilian_match_interrogative-partial-wh_Cuando-vendia-el-carro.wav,*,1,Teal
151,castilian_match_interrogative-partial-wh_Por-que-abre-el-regalo.wav,*,1,Navy
152,castilian_match_interrogative-partial-wh_Por-que-ama-la-navidad.wav,*,1,Pink
153,castilian_match_interrogative-partial-wh_Por-que-hablaba-del-agua.wav,*,1,Maroon
154,castilian_match_interrogative-partial-wh_Por-que-iba-a-Bolivia.wav,*,1,Olive
155,castilian_match_interrogative-total-yn_Ana-lleva-el-abrigo.wav,*,1,Grey
156,castilian_match_interrogative-total-yn_Daniel-iba-a-Bolivia.wav,*,1,Red
157,castilian_match_interrogative-total-yn_David-leia-el-libro.wav,*,1,Blue
158,castilian_match_interrogative-total-yn_Emilio-ama-la-marcha.wav,*,1,Green
159,castilian_match_interrogative-total-yn_Manuela-vende-el-carro.wav,*,1,Magenta
160,castilian_match_interrogative-total-yn_Maria-bebe-el-vino.wav,*,1,Black
161,castilian_match_interrogative-total-yn_Mariano-habla-del-tiempo.wav,*,1,Lime
162,castilian_match_interrogative-total-yn_Marta-abre-el-regalo.wav,*,1,Purple
163,castilian_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien.wav,*,1,Teal
164,castilian_mismatch_declarative-broad-focus_El-hombre-mira-la-luna.wav,*,1,Navy
165,castilian_mismatch_declarative-broad-focus_El-nino-oye-el-rio.wav,*,1,Pink
166,castilian_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris.wav,*,1,Maroon
167,castilian_mismatch_declarative-broad-focus_La-nina-lava-el-plato.wav,*,1,Olive
168,castilian_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta.wav,*,1,Grey
169,castilian_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago.wav,*,1,Red
170,castilian_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia.wav,*,1,Blue
171,castilian_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien.wav,*,1,Green
172,castilian_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna.wav,*,1,Magenta
173,castilian_mismatch_declarative-narrow-focus_El-nino-oye-el-rio.wav,*,1,Black
174,castilian_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris.wav,*,1,Lime
175,castilian_mismatch_declarative-narrow-focus_La-nina-lava-el-plato.wav,*,1,Purple
176,castilian_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta.wav,*,1,Teal
177,castilian_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago.wav,*,1,Navy
178,castilian_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia.wav,*,1,Pink
179,castilian_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta.wav,*,1,Maroon
180,castilian_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato.wav,*,1,Olive
181,castilian_mismatch_interrogative-partial-wh_Cuando-miraba-la-luna.wav,*,1,Grey
182,castilian_mismatch_interrogative-partial-wh_Por-que-desayuna-muy-bien.wav,*,1,Red
183,castilian_mismatch_interrogative-partial-wh_Por-que-odiaba-la-lluvia.wav,*,1,Blue
184,castilian_mismatch_interrogative-partial-wh_Por-que-oia-el-rio.wav,*,1,Green
185,castilian_mismatch_interrogative-partial-wh_Por-que-venia-del-lago.wav,*,1,Magenta
186,castilian_mismatch_interrogative-partial-wh_Por-que-vivia-en-Paris.wav,*,1,Black
187,castilian_mismatch_interrogative-total-yn_El-bebe-comia-muy-bien.wav,*,1,Lime
188,castilian_mismatch_interrogative-total-yn_El-hombre-mira-la-luna.wav,*,1,Purple
189,castilian_mismatch_interrogative-total-yn_El-nino-oye-el-rio.wav,*,1,Teal
190,castilian_mismatch_interrogative-total-yn_La-maestra-vive-en-Paris.wav,*,1,Navy
191,castilian_mismatch_interrogative-total-yn_La-nina-lava-el-plato.wav,*,1,Pink
192,castilian_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta.wav,*,1,Maroon
193,castilian_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago.wav,*,1,Olive
194,castilian_mismatch_interrogative-total-yn_Mi-tia-odia-la-lluvia.wav,*,1,Grey
195,castilian_question_filler_Mi-esposo-conoce-al-chico.wav,*,1,Red
196,chilean_match_declarative-broad-focus_Ana-lleva-el-abrigo.wav,*,1,Blue
197,chilean_match_declarative-broad-focus_Daniel-iba-a-Bolivia.wav,*,1,Green
198,chilean_match_declarative-broad-focus_David-leia-el-libro.wav,*,1,Magenta
199,chilean_match_declarative-broad-focus_Emilio-ama-la-marcha.wav,*,1,Black
200,chilean_match_declarative-broad-focus_Manuela-vende-el-carro.wav,*,1,Lime
201,chilean_match_declarative-broad-focus_Maria-bebe-el-vino.wav,*,1,Purple
202,chilean_match_declarative-broad-focus_Mariano-habla-del-tiempo.wav,*,1,Teal
203,chilean_match_declarative-broad-focus_Marta-abre-el-regalo.wav,*,1,Navy
204,chilean_match_declarative-narrow-focus_Ana-lleva-el-abrigo.wav,*,1,Pink
205,chilean_match_declarative-narrow-focus_Daniel-iba-a-Bolivia.wav,*,1,Maroon
206,chilean_match_declarative-narrow-focus_David-leia-el-libro.wav,*,1,Olive
207,chilean_match_declarative-narrow-focus_Emilio-ama-la-marcha.wav,*,1,Grey
208,chilean_match_declarative-narrow-focus_Manuela-vende-el-carro.wav,*,1,Red
209,chilean_match_declarative-narrow-focus_Maria-bebe-el-vino.wav,*,1,Blue
210,chilean_match_declarative-narrow-focus_Mariano-habla-del-tiempo.wav,*,1,Green
211,chilean_match_declarative-narrow-focus_Marta-abre-el-regalo.wav,*,1,Magenta
212,chilean_match_interrogative-partial-wh_Cuando-bebia-el-vino.wav,*,1,Black
213,chilean_match_interrogative-partial-wh_Cuando-leia-el-libro.wav,*,1,Lime
214,chilean_match_interrogative-partial-wh_Cuando-lleva-el-abrigo.wav,*,1,Purple
215,chilean_match_interrogative-partial-wh_Cuando-vendia-el-carro.wav,*,1,Teal
216,chilean_match_interrogative-partial-wh_Por-que-abre-el-regalo.wav,*,1,Navy
217,chilean_match_interrogative-partial-wh_Por-que-ama-la-navidad.wav,*,1,Pink
218,chilean_match_interrogative-partial-wh_Por-que-hablaba-del-agua.wav,*,1,Maroon
219,chilean_match_interrogative-partial-wh_Por-que-iba-a-Bolivia.wav,*,1,Olive
220,chilean_match_interrogative-total-yn_Ana-lleva-el-abrigo.wav,*,1,Grey
221,chilean_match_interrogative-total-yn_Daniel-iba-a-Bolivia.wav,*,1,Red
222,chilean_match_interrogative-total-yn_David-leia-el-libro.wav,*,1,Blue
223,chilean_match_interrogative-total-yn_Emilio-ama-la-marcha.wav,*,1,Green
224,chilean_match_interrogative-total-yn_Manuela-vende-el-carro.wav,*,1,Magenta
225,chilean_match_interrogative-total-yn_Maria-bebe-el-vino.wav,*,1,Black
226,chilean_match_interrogative-total-yn_Mariano-habla-del-tiempo.wav,*,1,Lime
227,chilean_match_interrogative-total-yn_Marta-abre-el-regalo.wav,*,1,Purple
228,chilean_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien.wav,*,1,Teal
229,chilean_mismatch_declarative-broad-focus_El-hombre-mira-la-luna.wav,*,1,Navy
230,chilean_mismatch_declarative-broad-focus_El-nino-oye-el-rio.wav,*,1,Pink
231,chilean_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris.wav,*,1,Maroon
232,chilean_mismatch_declarative-broad-focus_La-nina-lava-el-plato.wav,*,1,Olive
233,chilean_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta.wav,*,1,Grey
234,chilean_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago.wav,*,1,Red
235,chilean_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia.wav,*,1,Blue
236,chilean_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien.wav,*,1,Green
237,chilean_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna.wav,*,1,Magenta
238,chilean_mismatch_declarative-narrow-focus_El-nino-oye-el-rio.wav,*,1,Black
239,chilean_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris.wav,*,1,Lime
240,chilean_mismatch_declarative-narrow-focus_La-nina-lava-el-plato.wav,*,1,Purple
241,chilean_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta.wav,*,1,Teal
242,chilean_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago.wav,*,1,Navy
243,chilean_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia.wav,*,1,Pink
244,chilean_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta.wav,*,1,Maroon
245,chilean_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato.wav,*,1,Olive
246,chilean_mismatch_interrogative-partial-wh_Cuando-miraba-la-luna.wav,*,1,Grey
247,chilean_mismatch_interrogative-partial-wh_Por-que-desayuna-muy-bien.wav,*,1,Red
248,chilean_mismatch_interrogative-partial-wh_Por-que-odiaba-la-lluvia.wav,*,1,Blue
249,chilean_mismatch_interrogative-partial-wh_Por-que-oia-el-rio.wav,*,1,Green
250,chilean_mismatch_interrogative-partial-wh_Por-que-venia-del-lago.wav,*,1,Magenta
251,chilean_mismatch_interrogative-partial-wh_Por-que-vivia-en-Paris.wav,*,1,Black
252,chilean_mismatch_interrogative-total-yn_El-bebe-comia-muy-bien.wav,*,1,Lime
253,chilean_mismatch_interrogative-total-yn_El-hombre-mira-la-luna.wav,*,1,Purple
254,chilean_mismatch_interrogative-total-yn_El-nino-oye-el-rio.wav,*,1,Teal
255,chilean_mismatch_interrogative-total-yn_La-maestra-vive-en-Paris.wav,*,1,Navy
256,chilean_mismatch_interrogative-total-yn_La-nina-lava-el-plato.wav,*,1,Pink
257,chilean_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta.wav,*,1,Maroon
258,chilean_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago.wav,*,1,Olive
