file,winner,F1,F2,F3,edit
andalusian_match_declarative-broad-focus_Ana-lleva-el-abrigo,8,8,8,8,0
andalusian_match_declarative-broad-focus_Daniel-iba-a-Bolivia,9,9,9,9,0
andalusian_match_declarative-broad-focus_David-leia-el-libro,11,11,11,11,0
andalusian_match_declarative-broad-focus_Emilio-ama-la-marcha,1,1,1,1,0
andalusian_match_declarative-broad-focus_Manuela-vende-el-carro,9,9,9,9,0
andalusian_match_declarative-broad-focus_Maria-bebe-el-vino,10,10,10,10,0
andalusian_match_declarative-broad-focus_Mariano-habla-del-tiempo,1,1,1,1,0
andalusian_match_declarative-broad-focus_Marta-abre-el-regalo,9,9,9,9,0
andalusian_match_declarative-narrow-focus_Ana-lleva-el-abrigo,10,10,10,10,0
andalusian_match_declarative-narrow-focus_Daniel-iba-a-Bolivia,20,20,20,20,0
andalusian_match_declarative-narrow-focus_David-leia-el-libro,11,11,11,11,0
andalusian_match_declarative-narrow-focus_Emilio-ama-la-marcha,10,10,10,10,0
andalusian_match_declarative-narrow-focus_Manuela-vende-el-carro,1,1,1,1,0
andalusian_match_declarative-narrow-focus_Maria-bebe-el-vino,8,8,8,8,0
andalusian_match_declarative-narrow-focus_Mariano-habla-del-tiempo,8,8,8,8,0
andalusian_match_declarative-narrow-focus_Marta-abre-el-regalo,9,9,9,9,0
andalusian_match_interrogative-partial-wh_Cuando-bebia-el-vino,15,15,15,15,0
andalusian_match_interrogative-partial-wh_Cuando-leia-el-libro,7,7,7,7,0
andalusian_match_interrogative-partial-wh_Cuando-lleva-el-abrigo,9,9,9,9,0
andalusian_match_interrogative-partial-wh_Cuando-vendia-el-carro,7,7,7,7,0
andalusian_match_interrogative-partial-wh_Por-que-abre-el-regalo,7,7,7,7,0
andalusian_match_interrogative-partial-wh_Por-que-ama-la-navidad,10,10,10,10,0
andalusian_match_interrogative-partial-wh_Por-que-hablaba-del-agua,11,11,11,11,0
andalusian_match_interrogative-partial-wh_Por-que-iba-a-Bolivia,7,7,7,7,0
andalusian_match_interrogative-total-yn_Ana-lleva-el-abrigo,9,9,9,9,0
andalusian_match_interrogative-total-yn_Daniel-iba-a-Bolivia,11,11,11,11,0
andalusian_match_interrogative-total-yn_David-leia-el-libro,11,11,11,11,0
andalusian_match_interrogative-total-yn_Emilio-ama-la-marcha,8,8,8,8,0
andalusian_match_interrogative-total-yn_Manuela-vende-el-carro,9,9,9,9,0
andalusian_match_interrogative-total-yn_Maria-bebe-el-vino,8,8,8,8,0
andalusian_match_interrogative-total-yn_Mariano-habla-del-tiempo,1,1,1,1,0
andalusian_match_interrogative-total-yn_Marta-abre-el-regalo,7,7,7,7,0
andalusian_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien,15,15,15,15,0
andalusian_mismatch_declarative-broad-focus_El-hombre-mira-la-luna,8,8,8,8,0
andalusian_mismatch_declarative-broad-focus_El-nino-oye-el-rio,12,12,12,12,0
andalusian_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris,8,8,8,8,0
andalusian_mismatch_declarative-broad-focus_La-nina-lava-el-plato,6,6,6,6,0
andalusian_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta,10,10,10,10,0
andalusian_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago,10,10,10,10,0
andalusian_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia,8,8,8,8,0
andalusian_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien,12,12,12,12,0
andalusian_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna,15,15,15,15,0
andalusian_mismatch_declarative-narrow-focus_El-nino-oye-el-rio,11,11,11,11,0
andalusian_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris,9,9,9,9,0
andalusian_mismatch_declarative-narrow-focus_La-nina-lava-el-plato,8,8,8,8,0
andalusian_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta,9,9,9,9,0
andalusian_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago,8,8,8,8,0
andalusian_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia,9,9,9,9,0
andalusian_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta,7,7,7,7,0
andalusian_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato,8,8,8,8,0
andalusian_mismatch_interrogative-partial-wh_Cuando-miraba-la-luna,9,9,9,9,0
andalusian_mismatch_interrogative-partial-wh_Por-que-desayuna-muy-bien,8,8,8,8,0
andalusian_mismatch_interrogative-partial-wh_Por-que-odiaba-la-lluvia,8,8,8,8,0
andalusian_mismatch_interrogative-partial-wh_Por-que-oia-el-rio,6,6,6,6,0
andalusian_mismatch_interrogative-partial-wh_Por-que-venia-del-lago,11,11,11,11,0
andalusian_mismatch_interrogative-partial-wh_Por-que-vivia-en-Paris,9,9,9,9,0
andalusian_mismatch_interrogative-total-yn_El-bebe-comia-muy-bien,13,13,13,13,0
andalusian_mismatch_interrogative-total-yn_El-hombre-mira-la-luna,12,12,12,12,0
andalusian_mismatch_interrogative-total-yn_El-nino-oye-el-rio,8,8,8,8,0
andalusian_mismatch_interrogative-total-yn_La-maestra-vive-en-Paris,10,10,10,10,0
andalusian_mismatch_interrogative-total-yn_La-nina-lava-el-plato,6,6,6,6,0
andalusian_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta,8,8,8,8,0
andalusian_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago,13,13,13,13,0
andalusian_mismatch_interrogative-total-yn_Mi-tia-odia-la-lluvia,11,11,11,11,0
andalusian_statement_filler_Alberto-nunca-se-afeita,9,9,9,9,0
argentine_match_declarative-broad-focus_Ana-lleva-el-abrigo,3,3,3,3,0
argentine_match_declarative-broad-focus_Daniel-iba-a-Bolivia,4,4,4,4,0
argentine_match_declarative-broad-focus_David-leia-el-libro,2,2,2,2,0
argentine_match_declarative-broad-focus_Emilio-ama-la-marcha,5,5,5,5,0
argentine_match_declarative-broad-focus_Manuela-vende-el-carro,4,4,4,4,0
argentine_match_declarative-broad-focus_Maria-bebe-el-vino,12,12,12,12,0
argentine_match_declarative-broad-focus_Mariano-habla-del-tiempo,5,5,5,5,0
argentine_match_declarative-broad-focus_Marta-abre-el-regalo,4,4,4,4,0
argentine_match_declarative-narrow-focus_Ana-lleva-el-abrigo,2,2,2,2,0
argentine_match_declarative-narrow-focus_Daniel-iba-a-Bolivia,6,6,6,6,0
argentine_match_declarative-narrow-focus_David-leia-el-libro,5,5,5,5,0
argentine_match_declarative-narrow-focus_Emilio-ama-la-marcha,4,4,4,4,0
argentine_match_declarative-narrow-focus_Manuela-vende-el-carro,3,3,3,3,0
argentine_match_declarative-narrow-focus_Maria-bebe-el-vino,4,4,4,4,0
argentine_match_declarative-narrow-focus_Mariano-habla-del-tiempo,5,5,5,5,0
argentine_match_declarative-narrow-focus_Marta-abre-el-regalo,3,3,3,3,0
argentine_match_interrogative-partial-wh_Cuando-bebia-el-vino,11,11,11,11,0
argentine_match_interrogative-partial-wh_Cuando-leia-el-libro,5,5,5,5,0
argentine_match_interrogative-partial-wh_Cuando-lleva-el-abrigo,2,2,2,2,0
argentine_match_interrogative-partial-wh_Cuando-vendia-el-carro,6,6,6,6,0
argentine_match_interrogative-partial-wh_Por-que-abre-el-regalo,2,2,2,2,0
argentine_match_interrogative-partial-wh_Por-que-ama-la-navidad,5,5,5,5,0
argentine_match_interrogative-partial-wh_Por-que-hablaba-del-agua,6,6,6,6,0
argentine_match_interrogative-partial-wh_Por-que-iba-a-Bolivia,10,10,10,10,0
argentine_match_interrogative-total-yn_Ana-lleva-el-abrigo,3,3,3,3,0
argentine_match_interrogative-total-yn_Daniel-iba-a-Bolivia,4,4,4,4,0
argentine_match_interrogative-total-yn_David-leia-el-libro,3,3,3,3,0
argentine_match_interrogative-total-yn_Emilio-ama-la-marcha,4,4,4,4,0
argentine_match_interrogative-total-yn_Manuela-vende-el-carro,3,3,3,3,0
argentine_match_interrogative-total-yn_Maria-bebe-el-vino,3,3,3,3,0
argentine_match_interrogative-total-yn_Mariano-habla-del-tiempo,3,3,3,3,0
argentine_match_interrogative-total-yn_Marta-abre-el-regalo,3,3,3,3,0
argentine_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien,5,5,5,5,0
argentine_mismatch_declarative-broad-focus_El-hombre-mira-la-luna,2,2,2,2,0
argentine_mismatch_declarative-broad-focus_El-nino-oye-el-rio,4,4,4,4,0
argentine_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris,7,7,7,7,0
argentine_mismatch_declarative-broad-focus_La-nina-lava-el-plato,4,4,4,4,0
argentine_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta,4,4,4,4,0
argentine_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago,2,2,2,2,0
argentine_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia,6,6,6,6,0
argentine_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien,7,7,7,7,0
argentine_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna,2,2,2,2,0
argentine_mismatch_declarative-narrow-focus_El-nino-oye-el-rio,1,1,1,1,0
argentine_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris,6,6,6,6,0
argentine_mismatch_declarative-narrow-focus_La-nina-lava-el-plato,6,6,6,6,0
argentine_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta,4,4,4,4,0
argentine_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago,2,2,2,2,0
argentine_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia,5,5,5,5,0
argentine_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta,5,5,5,5,0
argentine_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato,4,4,4,4,0
argentine_mismatch_interrogative-partial-wh_Cuando-miraba-la-luna,11,11,11,11,0
argentine_mismatch_interrogative-partial-wh_Por-que-desayuna-muy-bien,2,2,2,2,0
argentine_mismatch_interrogative-partial-wh_Por-que-odiaba-la-lluvia,1,1,1,1,0
argentine_mismatch_interrogative-partial-wh_Por-que-oia-el-rio,7,7,7,7,0
argentine_mismatch_interrogative-partial-wh_Por-que-venia-del-lago,5,5,5,5,0
argentine_mismatch_interrogative-partial-wh_Por-que-vivia-en-Paris,3,3,3,3,0
argentine_mismatch_interrogative-total-yn_El-bebe-comia-muy-bien,6,6,6,6,0
argentine_mismatch_interrogative-total-yn_El-hombre-mira-la-luna,3,3,3,3,0
argentine_mismatch_interrogative-total-yn_El-nino-oye-el-rio,3,3,3,3,0
argentine_mismatch_interrogative-total-yn_La-maestra-vive-en-Paris,5,5,5,5,0
argentine_mismatch_interrogative-total-yn_La-nina-lava-el-plato,4,4,4,4,0
argentine_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta,3,3,3,3,0
argentine_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago,1,1,1,1,0
argentine_mismatch_interrogative-total-yn_Mi-tia-odia-la-lluvia,4,4,4,4,0
argentine_question_filler_Mi-vecino-habla-mucho,2,2,2,2,0
castilian_match_declarative-broad-focus_Ana-lleva-el-abrigo,17,17,17,17,0
castilian_match_declarative-broad-focus_Daniel-iba-a-Bolivia,12,12,12,12,0
castilian_match_declarative-broad-focus_David-leia-el-libro,12,12,12,12,0
castilian_match_declarative-broad-focus_Emilio-ama-la-marcha,8,8,8,8,0
castilian_match_declarative-broad-focus_Manuela-vende-el-carro,12,12,12,12,0
castilian_match_declarative-broad-focus_Maria-bebe-el-vino,7,7,7,7,0
castilian_match_declarative-broad-focus_Mariano-habla-del-tiempo,11,11,11,11,0
castilian_match_declarative-broad-focus_Marta-abre-el-regalo,7,7,7,7,0
castilian_match_declarative-narrow-focus_Ana-lleva-el-abrigo,17,17,17,17,0
castilian_match_declarative-narrow-focus_Daniel-iba-a-Bolivia,7,7,7,7,0
castilian_match_declarative-narrow-focus_David-leia-el-libro,8,8,8,8,0
castilian_match_declarative-narrow-focus_Emilio-ama-la-marcha,9,9,9,9,0
castilian_match_declarative-narrow-focus_Manuela-vende-el-carro,6,6,6,6,0
castilian_match_declarative-narrow-focus_Maria-bebe-el-vino,13,13,13,13,0
castilian_match_declarative-narrow-focus_Mariano-habla-del-tiempo,10,10,10,10,0
castilian_match_declarative-narrow-focus_Marta-abre-el-regalo,8,8,8,8,0
castilian_match_interrogative-partial-wh_Cuando-bebia-el-vino,19,19,19,19,0
castilian_match_interrogative-partial-wh_Cuando-leia-el-libro,17,17,17,17,0
castilian_match_interrogative-partial-wh_Cuando-lleva-el-abrigo,19,19,19,19,0
castilian_match_interrogative-partial-wh_Cuando-vendia-el-carro,6,6,6,6,0
castilian_match_interrogative-partial-wh_Por-que-abre-el-regalo,7,7,7,7,0
castilian_match_interrogative-partial-wh_Por-que-ama-la-navidad,8,8,8,8,0
castilian_match_interrogative-partial-wh_Por-que-hablaba-del-agua,10,10,10,10,0
castilian_match_interrogative-partial-wh_Por-que-iba-a-Bolivia,8,8,8,8,0
castilian_match_interrogative-total-yn_Ana-lleva-el-abrigo,12,12,12,12,0
castilian_match_interrogative-total-yn_Daniel-iba-a-Bolivia,7,7,7,7,0
castilian_match_interrogative-total-yn_David-leia-el-libro,7,7,7,7,0
castilian_match_interrogative-total-yn_Emilio-ama-la-marcha,1,1,1,1,0
castilian_match_interrogative-total-yn_Manuela-vende-el-carro,8,8,8,8,0
castilian_match_interrogative-total-yn_Maria-bebe-el-vino,7,7,7,7,0
castilian_match_interrogative-total-yn_Mariano-habla-del-tiempo,9,9,9,9,0
castilian_match_interrogative-total-yn_Marta-abre-el-regalo,8,8,8,8,0
castilian_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien,14,14,14,14,0
castilian_mismatch_declarative-broad-focus_El-hombre-mira-la-luna,15,15,15,15,0
castilian_mismatch_declarative-broad-focus_El-nino-oye-el-rio,1,1,1,1,0
castilian_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris,8,8,8,8,0
castilian_mismatch_declarative-broad-focus_La-nina-lava-el-plato,12,12,12,12,0
castilian_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta,7,7,7,7,0
castilian_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago,7,7,7,7,0
castilian_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia,16,16,16,16,0
castilian_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien,6,6,6,6,0
castilian_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna,14,14,14,14,0
castilian_mismatch_declarative-narrow-focus_El-nino-oye-el-rio,5,5,5,5,0
castilian_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris,6,6,6,6,0
castilian_mismatch_declarative-narrow-focus_La-nina-lava-el-plato,12,12,12,12,0
castilian_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta,6,6,6,6,0
castilian_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago,8,8,8,8,0
castilian_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia,8,8,8,8,0
castilian_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta,1,1,1,1,0
castilian_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato,9,9,9,9,0
castilian_mismatch_interrogative-partial-wh_Cuando-miraba-la-luna,19,19,19,19,0
castilian_mismatch_interrogative-partial-wh_Por-que-desayuna-muy-bien,8,8,8,8,0
castilian_mismatch_interrogative-partial-wh_Por-que-odiaba-la-lluvia,11,11,11,11,0
castilian_mismatch_interrogative-partial-wh_Por-que-oia-el-rio,6,6,6,6,0
castilian_mismatch_interrogative-partial-wh_Por-que-venia-del-lago,8,8,8,8,0
castilian_mismatch_interrogative-partial-wh_Por-que-vivia-en-Paris,7,7,7,7,0
castilian_mismatch_interrogative-total-yn_El-bebe-comia-muy-bien,8,8,8,8,0
castilian_mismatch_interrogative-total-yn_El-hombre-mira-la-luna,18,18,18,18,0
castilian_mismatch_interrogative-total-yn_El-nino-oye-el-rio,8,8,8,8,0
castilian_mismatch_interrogative-total-yn_La-maestra-vive-en-Paris,6,6,6,6,0
castilian_mismatch_interrogative-total-yn_La-nina-lava-el-plato,11,11,11,11,0
castilian_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta,7,7,7,7,0
castilian_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago,7,7,7,7,0
castilian_mismatch_interrogative-total-yn_Mi-tia-odia-la-lluvia,12,12,12,12,0
castilian_question_filler_Mi-esposo-conoce-al-chico,7,7,7,7,0
chilean_match_declarative-broad-focus_Ana-lleva-el-abrigo,4,4,4,4,0
chilean_match_declarative-broad-focus_Daniel-iba-a-Bolivia,8,8,8,8,0
chilean_match_declarative-broad-focus_David-leia-el-libro,5,5,5,5,0
chilean_match_declarative-broad-focus_Emilio-ama-la-marcha,1,1,1,1,0
chilean_match_declarative-broad-focus_Manuela-vende-el-carro,8,8,8,8,0
chilean_match_declarative-broad-focus_Maria-bebe-el-vino,6,6,6,6,0
chilean_match_declarative-broad-focus_Mariano-habla-del-tiempo,5,5,5,5,0
chilean_match_declarative-broad-focus_Marta-abre-el-regalo,5,5,5,5,0
chilean_match_declarative-narrow-focus_Ana-lleva-el-abrigo,9,9,9,9,0
chilean_match_declarative-narrow-focus_Daniel-iba-a-Bolivia,8,8,8,8,0
chilean_match_declarative-narrow-focus_David-leia-el-libro,8,8,8,8,0
chilean_match_declarative-narrow-focus_Emilio-ama-la-marcha,7,7,7,7,0
chilean_match_declarative-narrow-focus_Manuela-vende-el-carro,11,11,11,11,0
chilean_match_declarative-narrow-focus_Maria-bebe-el-vino,1,1,1,1,0
chilean_match_declarative-narrow-focus_Mariano-habla-del-tiempo,8,8,8,8,0
chilean_match_declarative-narrow-focus_Marta-abre-el-regalo,8,8,8,8,0
chilean_match_interrogative-partial-wh_Cuando-bebia-el-vino,7,7,7,7,0
chilean_match_interrogative-partial-wh_Cuando-leia-el-libro,11,11,11,11,0
chilean_match_interrogative-partial-wh_Cuando-lleva-el-abrigo,10,10,10,10,0
chilean_match_interrogative-partial-wh_Cuando-vendia-el-carro,9,9,9,9,0
chilean_match_interrogative-partial-wh_Por-que-abre-el-regalo,6,6,6,6,0
chilean_match_interrogative-partial-wh_Por-que-ama-la-navidad,10,10,10,10,0
chilean_match_interrogative-partial-wh_Por-que-hablaba-del-agua,11,11,11,11,0
chilean_match_interrogative-partial-wh_Por-que-iba-a-Bolivia,10,10,10,10,0
chilean_match_interrogative-total-yn_Ana-lleva-el-abrigo,10,10,10,10,0
chilean_match_interrogative-total-yn_Daniel-iba-a-Bolivia,11,11,11,11,0
chilean_match_interrogative-total-yn_David-leia-el-libro,10,10,10,10,0
chilean_match_interrogative-total-yn_Emilio-ama-la-marcha,11,11,11,11,0
chilean_match_interrogative-total-yn_Manuela-vende-el-carro,7,7,7,7,0
chilean_match_interrogative-total-yn_Maria-bebe-el-vino,9,9,9,9,0
chilean_match_interrogative-total-yn_Mariano-habla-del-tiempo,10,10,10,10,0
chilean_match_interrogative-total-yn_Marta-abre-el-regalo,10,10,10,10,0
chilean_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien,9,9,9,9,0
chilean_mismatch_declarative-broad-focus_El-hombre-mira-la-luna,9,9,9,9,0
chilean_mismatch_declarative-broad-focus_El-nino-oye-el-rio,6,6,6,6,0
chilean_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris,7,7,7,7,0
chilean_mismatch_declarative-broad-focus_La-nina-lava-el-plato,9,9,9,9,0
chilean_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta,10,10,10,10,0
chilean_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago,5,5,5,5,0
chilean_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia,8,8,8,8,0
chilean_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien,7,7,7,7,0
chilean_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna,6,6,6,6,0
chilean_mismatch_declarative-narrow-focus_El-nino-oye-el-rio,6,6,6,6,0
chilean_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris,6,6,6,6,0
chilean_mismatch_declarative-narrow-focus_La-nina-lava-el-plato,8,8,8,8,0
chilean_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta,6,6,6,6,0
chilean_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago,7,7,7,7,0
chilean_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia,5,5,5,5,0
chilean_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta,10,10,10,10,0
chilean_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato,11,11,11,11,0
chilean_mismatch_interrogative-partial-wh_Cuando-miraba-la-luna,10,10,10,10,0
chilean_mismatch_interrogative-partial-wh_Por-que-desayuna-muy-bien,11,11,11,11,0
chilean_mismatch_interrogative-partial-wh_Por-que-odiaba-la-lluvia,12,12,12,12,0
chilean_mismatch_interrogative-partial-wh_Por-que-oia-el-rio,4,4,4,4,0
chilean_mismatch_interrogative-partial-wh_Por-que-venia-del-lago,6,6,6,6,0
chilean_mismatch_interrogative-partial-wh_Por-que-vivia-en-Paris,4,4,4,4,0
chilean_mismatch_interrogative-total-yn_El-bebe-comia-muy-bien,11,11,11,11,0
chilean_mismatch_interrogative-total-yn_El-hombre-mira-la-luna,7,7,7,7,0
chilean_mismatch_interrogative-total-yn_El-nino-oye-el-rio,4,4,4,4,0
chilean_mismatch_interrogative-total-yn_La-maestra-vive-en-Paris,3,3,3,3,0
chilean_mismatch_interrogative-total-yn_La-nina-lava-el-plato,5,5,5,5,0
chilean_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta,12,12,12,12,0
chilean_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago,11,11,11,11,0
