file,winner,F1,F2,F3,edit
chilean_mismatch_interrogative-total-yn_Mi-tia-odia-la-lluvia,6,6,6,6,0
chilean_question_filler_Mi-padre-cantaba-bien,7,7,7,7,0
cuban_match_declarative-broad-focus_Ana-lleva-el-abrigo,7,7,7,7,0
cuban_match_declarative-broad-focus_Daniel-iba-a-Bolivia,6,6,6,6,0
cuban_match_declarative-broad-focus_David-leia-el-libro,4,4,4,4,0
cuban_match_declarative-broad-focus_Emilio-ama-la-marcha,7,7,7,7,0
cuban_match_declarative-broad-focus_Manuela-vende-el-carro,7,7,7,7,0
cuban_match_declarative-broad-focus_Maria-bebe-el-vino,6,6,6,6,0
cuban_match_declarative-broad-focus_Mariano-habla-del-tiempo,5,5,5,5,0
cuban_match_declarative-broad-focus_Marta-abre-el-regalo,8,8,8,8,0
cuban_match_declarative-narrow-focus_Ana-lleva-el-abrigo,9,9,9,9,0
cuban_match_declarative-narrow-focus_Daniel-iba-a-Bolivia,7,7,7,7,0
cuban_match_declarative-narrow-focus_David-leia-el-libro,5,5,5,5,0
cuban_match_declarative-narrow-focus_Emilio-ama-la-marcha,8,8,8,8,0
cuban_match_declarative-narrow-focus_Manuela-vende-el-carro,7,7,7,7,0
cuban_match_declarative-narrow-focus_Maria-bebe-el-vino,6,6,6,6,0
cuban_match_declarative-narrow-focus_Mariano-habla-del-tiempo,2,2,2,2,0
cuban_match_declarative-narrow-focus_Marta-abre-el-regalo,7,7,7,7,0
cuban_match_interrogative-partial-wh_Cuando-bebia-el-vino,16,16,16,16,0
cuban_match_interrogative-partial-wh_Cuando-leia-el-libro,9,9,9,9,0
cuban_match_interrogative-partial-wh_Cuando-lleva-el-abrigo,1,1,1,1,0
cuban_match_interrogative-partial-wh_Cuando-vendia-el-carro,1,1,1,1,0
cuban_match_interrogative-partial-wh_Por-que-abre-el-regalo,9,9,9,9,0
cuban_match_interrogative-partial-wh_Por-que-ama-la-navidad,8,8,8,8,0
cuban_match_interrogative-partial-wh_Por-que-hablaba-del-agua,8,8,8,8,0
cuban_match_interrogative-partial-wh_Por-que-iba-a-Bolivia,10,10,10,10,0
cuban_match_interrogative-total-yn_Ana-lleva-el-abrigo,6,6,6,6,0
cuban_match_interrogative-total-yn_Daniel-iba-a-Bolivia,9,9,9,9,0
cuban_match_interrogative-total-yn_David-leia-el-libro,8,8,8,8,0
cuban_match_interrogative-total-yn_Emilio-ama-la-marcha,7,7,7,7,0
cuban_match_interrogative-total-yn_Manuela-vende-el-carro,7,7,7,7,0
cuban_match_interrogative-total-yn_Maria-bebe-el-vino,8,8,8,8,0
cuban_match_interrogative-total-yn_Mariano-habla-del-tiempo,8,8,8,8,0
cuban_match_interrogative-total-yn_Marta-abre-el-regalo,5,5,5,5,0
cuban_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien,12,12,12,12,0
cuban_mismatch_declarative-broad-focus_El-hombre-mira-la-luna,7,7,7,7,0
cuban_mismatch_declarative-broad-focus_El-nino-oye-el-rio,10,10,10,10,0
cuban_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris,5,5,5,5,0
cuban_mismatch_declarative-broad-focus_La-nina-lava-el-plato,11,11,11,11,0
cuban_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta,7,7,7,7,0
cuban_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago,8,8,8,8,0
cuban_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia,11,11,11,11,0
cuban_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien,8,8,8,8,0
cuban_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna,6,6,6,6,0
cuban_mismatch_declarative-narrow-focus_El-nino-oye-el-rio,7,7,7,7,0
cuban_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris,9,9,9,9,0
cuban_mismatch_declarative-narrow-focus_La-nina-lava-el-plato,9,9,9,9,0
cuban_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta,8,8,8,8,0
cuban_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago,6,6,6,6,0
cuban_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia,12,12,12,12,0
cuban_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta,3,3,3,3,0
cuban_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato,12,12,12,12,0
cuban_mismatch_interrogative-partial-wh_Cuando-miraba-la-luna,20,20,20,20,0
cuban_mismatch_interrogative-partial-wh_Por-que-desayuna-muy-bien,11,11,11,11,0
cuban_mismatch_interrogative-partial-wh_Por-que-odiaba-la-lluvia,9,9,9,9,0
cuban_mismatch_interrogative-partial-wh_Por-que-oia-el-rio,8,8,8,8,0
cuban_mismatch_interrogative-partial-wh_Por-que-venia-del-lago,11,11,11,11,0
cuban_mismatch_interrogative-partial-wh_Por-que-vivia-en-Paris,8,8,8,8,0
cuban_mismatch_interrogative-total-yn_El-bebe-comia-muy-bien,10,10,10,10,0
cuban_mismatch_interrogative-total-yn_El-hombre-mira-la-luna,8,8,8,8,0
cuban_mismatch_interrogative-total-yn_El-nino-oye-el-rio,17,17,17,17,0
cuban_mismatch_interrogative-total-yn_La-maestra-vive-en-Paris,2,2,2,2,0
cuban_mismatch_interrogative-total-yn_La-nina-lava-el-plato,7,7,7,7,0
cuban_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta,7,7,7,7,0
cuban_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago,9,9,9,9,0
cuban_mismatch_interrogative-total-yn_Mi-tia-odia-la-lluvia,2,2,2,2,0
cuban_statement_filler_Cocinabas-por-la-noche,1,1,1,1,0
mexican_match_declarative-broad-focus_Ana-lleva-el-abrigo,5,5,5,5,0
mexican_match_declarative-broad-focus_Daniel-iba-a-Bolivia,16,16,16,16,0
mexican_match_declarative-broad-focus_David-leia-el-libro,15,15,15,15,0
mexican_match_declarative-broad-focus_Emilio-ama-la-marcha,8,8,8,8,0
mexican_match_declarative-broad-focus_Manuela-vende-el-carro,14,14,14,14,0
mexican_match_declarative-broad-focus_Maria-bebe-el-vino,11,11,11,11,0
mexican_match_declarative-broad-focus_Mariano-habla-del-tiempo,13,13,13,13,0
mexican_match_declarative-broad-focus_Marta-abre-el-regalo,8,8,8,8,0
mexican_match_declarative-narrow-focus_Ana-lleva-el-abrigo,7,7,7,7,0
mexican_match_declarative-narrow-focus_Daniel-iba-a-Bolivia,15,15,15,15,0
mexican_match_declarative-narrow-focus_David-leia-el-libro,10,10,10,10,0
mexican_match_declarative-narrow-focus_Emilio-ama-la-marcha,12,12,12,12,0
mexican_match_declarative-narrow-focus_Manuela-vende-el-carro,14,14,14,14,0
mexican_match_declarative-narrow-focus_Maria-bebe-el-vino,16,16,16,16,0
mexican_match_declarative-narrow-focus_Mariano-habla-del-tiempo,15,15,15,15,0
mexican_match_declarative-narrow-focus_Marta-abre-el-regalo,13,13,13,13,0
mexican_match_interrogative-partial-wh_Cuando-bebia-el-vino,13,13,13,13,0
mexican_match_interrogative-partial-wh_Cuando-leia-el-libro,6,6,6,6,0
mexican_match_interrogative-partial-wh_Cuando-lleva-el-abrigo,15,15,15,15,0
mexican_match_interrogative-partial-wh_Cuando-vendia-el-carro,15,15,15,15,0
mexican_match_interrogative-partial-wh_Por-que-abre-el-regalo,8,8,8,8,0
mexican_match_interrogative-partial-wh_Por-que-ama-la-navidad,10,10,10,10,0
mexican_match_interrogative-partial-wh_Por-que-hablaba-del-agua,12,12,12,12,0
mexican_match_interrogative-partial-wh_Por-que-iba-a-Bolivia,9,9,9,9,0
mexican_match_interrogative-total-yn_Ana-lleva-el-abrigo,15,15,15,15,0
mexican_match_interrogative-total-yn_Daniel-iba-a-Bolivia,15,15,15,15,0
mexican_match_interrogative-total-yn_David-leia-el-libro,6,6,6,6,0
mexican_match_interrogative-total-yn_Emilio-ama-la-marcha,12,12,12,12,0
mexican_match_interrogative-total-yn_Manuela-vende-el-carro,16,16,16,16,0
mexican_match_interrogative-total-yn_Maria-bebe-el-vino,18,18,18,18,0
mexican_match_interrogative-total-yn_Mariano-habla-del-tiempo,13,13,13,13,0
mexican_match_interrogative-total-yn_Marta-abre-el-regalo,12,12,12,12,0
mexican_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien,15,15,15,15,0
mexican_mismatch_declarative-broad-focus_El-hombre-mira-la-luna,6,6,6,6,0
mexican_mismatch_declarative-broad-focus_El-nino-oye-el-rio,13,13,13,13,0
mexican_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris,10,10,10,10,0
mexican_mismatch_declarative-broad-focus_La-nina-lava-el-plato,17,17,17,17,0
mexican_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta,8,8,8,8,0
mexican_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago,15,15,15,15,0
mexican_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia,14,14,14,14,0
mexican_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien,8,8,8,8,0
mexican_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna,14,14,14,14,0
mexican_mismatch_declarative-narrow-focus_El-nino-oye-el-rio,7,7,7,7,0
mexican_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris,10,10,10,10,0
mexican_mismatch_declarative-narrow-focus_La-nina-lava-el-plato,16,16,16,16,0
mexican_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta,6,6,6,6,0
mexican_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago,14,14,14,14,0
mexican_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia,9,9,9,9,0
mexican_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta,1,1,1,1,0
mexican_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato,12,12,12,12,0
mexican_mismatch_interrogative-partial-wh_Cuando-miraba-la-luna,14,14,14,14,0
mexican_mismatch_interrogative-partial-wh_Por-que-desayuna-muy-bien,13,13,13,13,0
mexican_mismatch_interrogative-partial-wh_Por-que-odiaba-la-lluvia,8,8,8,8,0
mexican_mismatch_interrogative-partial-wh_Por-que-oia-el-rio,8,8,8,8,0
mexican_mismatch_interrogative-partial-wh_Por-que-venia-del-lago,12,12,12,12,0
mexican_mismatch_interrogative-partial-wh_Por-que-vivia-en-Paris,8,8,8,8,0
mexican_mismatch_interrogative-total-yn_El-bebe-comia-muy-bien,14,14,14,14,0
mexican_mismatch_interrogative-total-yn_El-hombre-mira-la-luna,18,18,18,18,0
mexican_mismatch_interrogative-total-yn_El-nino-oye-el-rio,11,11,11,11,0
mexican_mismatch_interrogative-total-yn_La-maestra-vive-en-Paris,9,9,9,9,0
mexican_mismatch_interrogative-total-yn_La-nina-lava-el-plato,10,10,10,10,0
mexican_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta,13,13,13,13,0
mexican_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago,14,14,14,14,0
mexican_mismatch_interrogative-total-yn_Mi-tia-odia-la-lluvia,15,15,15,15,0
mexican_question_filler_Felipe-no-tiene-contrasena,12,12,12,12,0
peruvian_match_declarative-broad-focus_Ana-lleva-el-abrigo,4,4,4,4,0
peruvian_match_declarative-broad-focus_Daniel-iba-a-Bolivia,6,6,6,6,0
peruvian_match_declarative-broad-focus_David-leia-el-libro,9,9,9,9,0
peruvian_match_declarative-broad-focus_Emilio-ama-la-marcha,6,6,6,6,0
peruvian_match_declarative-broad-focus_Manuela-vende-el-carro,5,5,5,5,0
peruvian_match_declarative-broad-focus_Maria-bebe-el-vino,2,2,2,2,0
peruvian_match_declarative-broad-focus_Mariano-habla-del-tiempo,5,5,5,5,0
peruvian_match_declarative-broad-focus_Marta-abre-el-regalo,6,6,6,6,0
peruvian_match_declarative-narrow-focus_Ana-lleva-el-abrigo,6,6,6,6,0
peruvian_match_declarative-narrow-focus_Daniel-iba-a-Bolivia,9,9,9,9,0
peruvian_match_declarative-narrow-focus_David-leia-el-libro,7,7,7,7,0
peruvian_match_declarative-narrow-focus_Emilio-ama-la-marcha,5,5,5,5,0
peruvian_match_declarative-narrow-focus_Manuela-vende-el-carro,4,4,4,4,0
peruvian_match_declarative-narrow-focus_Maria-bebe-el-vino,5,5,5,5,0
peruvian_match_declarative-narrow-focus_Mariano-habla-del-tiempo,1,1,1,1,0
peruvian_match_declarative-narrow-focus_Marta-abre-el-regalo,6,6,6,6,0
peruvian_match_interrogative-partial-wh_Cuando-bebia-el-vino,1,1,1,1,0
peruvian_match_interrogative-partial-wh_Cuando-leia-el-libro,1,1,1,1,0
peruvian_match_interrogative-partial-wh_Cuando-lleva-el-abrigo,3,3,3,3,0
peruvian_match_interrogative-partial-wh_Cuando-vendia-el-carro,6,6,6,6,0
peruvian_match_interrogative-partial-wh_Por-que-abre-el-regalo,6,6,6,6,0
peruvian_match_interrogative-partial-wh_Por-que-ama-la-navidad,7,7,7,7,0
peruvian_match_interrogative-partial-wh_Por-que-hablaba-del-agua,7,7,7,7,0
peruvian_match_interrogative-partial-wh_Por-que-iba-a-Bolivia,6,6,6,6,0
peruvian_match_interrogative-total-yn_Ana-lleva-el-abrigo,2,2,2,2,0
peruvian_match_interrogative-total-yn_Daniel-iba-a-Bolivia,8,8,8,8,0
peruvian_match_interrogative-total-yn_David-leia-el-libro,5,5,5,5,0
peruvian_match_interrogative-total-yn_Emilio-ama-la-marcha,4,4,4,4,0
peruvian_match_interrogative-total-yn_Manuela-vende-el-carro,3,3,3,3,0
peruvian_match_interrogative-total-yn_Maria-bebe-el-vino,4,4,4,4,0
peruvian_match_interrogative-total-yn_Mariano-habla-del-tiempo,5,5,5,5,0
peruvian_match_interrogative-total-yn_Marta-abre-el-regalo,6,6,6,6,0
peruvian_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien,4,4,4,4,0
peruvian_mismatch_declarative-broad-focus_El-hombre-mira-la-luna,5,5,5,5,0
peruvian_mismatch_declarative-broad-focus_El-nino-oye-el-rio,6,6,6,6,0
peruvian_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris,1,1,1,1,0
peruvian_mismatch_declarative-broad-focus_La-nina-lava-el-plato,5,5,5,5,0
peruvian_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta,5,5,5,5,0
peruvian_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago,6,6,6,6,0
peruvian_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia,11,11,11,11,0
peruvian_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien,5,5,5,5,0
peruvian_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna,6,6,6,6,0
peruvian_mismatch_declarative-narrow-focus_El-nino-oye-el-rio,6,6,6,6,0
peruvian_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris,1,1,1,1,0
peruvian_mismatch_declarative-narrow-focus_La-nina-lava-el-plato,7,7,7,7,0
peruvian_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta,1,1,1,1,0
peruvian_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago,6,6,6,6,0
peruvian_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia,6,6,6,6,0
peruvian_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta,3,3,3,3,0
peruvian_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato,3,3,3,3,0
peruvian_mismatch_interrogative-partial-wh_Cuando-miraba-la-luna,6,6,6,6,0
peruvian_mismatch_interrogative-partial-wh_Por-que-desayuna-muy-bien,1,1,1,1,0
peruvian_mismatch_interrogative-partial-wh_Por-que-odiaba-la-lluvia,4,4,4,4,0
peruvian_mismatch_interrogative-partial-wh_Por-que-oia-el-rio,1,1,1,1,0
peruvian_mismatch_interrogative-partial-wh_Por-que-venia-del-lago,6,6,6,6,0
peruvian_mismatch_interrogative-partial-wh_Por-que-vivia-en-Paris,1,1,1,1,0
peruvian_mismatch_interrogative-total-yn_El-bebe-comia-muy-bien,7,7,7,7,0
peruvian_mismatch_interrogative-total-yn_El-hombre-mira-la-luna,5,5,5,5,0
peruvian_mismatch_interrogative-total-yn_El-nino-oye-el-rio,4,4,4,4,0
peruvian_mismatch_interrogative-total-yn_La-maestra-vive-en-Paris,1,1,1,1,0
peruvian_mismatch_interrogative-total-yn_La-nina-lava-el-plato,5,5,5,5,0
peruvian_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta,4,4,4,4,0
peruvian_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago,3,3,3,3,0
peruvian_mismatch_interrogative-total-yn_Mi-tia-odia-la-lluvia,11,11,11,11,0
peruvian_statement_filler_El-nino-habla-con-su-madre,2,2,2,2,0
puertorican_match_declarative-broad-focus_Ana-lleva-el-abrigo,11,11,11,11,0
puertorican_match_declarative-broad-focus_Daniel-iba-a-Bolivia,12,12,12,12,0
puertorican_match_declarative-broad-focus_David-leia-el-libro,15,15,15,15,0
puertorican_match_declarative-broad-focus_Emilio-ama-la-marcha,1,1,1,1,0
puertorican_match_declarative-broad-focus_Manuela-vende-el-carro,3,3,3,3,0
puertorican_match_declarative-broad-focus_Maria-bebe-el-vino,4,4,4,4,0
puertorican_match_declarative-broad-focus_Mariano-habla-del-tiempo,1,1,1,1,0
puertorican_match_declarative-broad-focus_Marta-abre-el-regalo,16,16,16,16,0
puertorican_match_declarative-narrow-focus_Ana-lleva-el-abrigo,4,4,4,4,0
puertorican_match_declarative-narrow-focus_Daniel-iba-a-Bolivia,16,16,16,16,0
puertorican_match_declarative-narrow-focus_David-leia-el-libro,17,17,17,17,0
puertorican_match_declarative-narrow-focus_Emilio-ama-la-marcha,1,1,1,1,0
puertorican_match_declarative-narrow-focus_Manuela-vende-el-carro,1,1,1,1,0
puertorican_match_declarative-narrow-focus_Maria-bebe-el-vino,18,18,18,18,0
puertorican_match_declarative-narrow-focus_Mariano-habla-del-tiempo,1,1,1,1,0
puertorican_match_declarative-narrow-focus_Marta-abre-el-regalo,15,15,15,15,0
puertorican_match_interrogative-partial-wh_Cuando-bebia-el-vino,15,15,15,15,0
puertorican_match_interrogative-partial-wh_Cuando-leia-el-libro,14,14,14,14,0
puertorican_match_interrogative-partial-wh_Cuando-lleva-el-abrigo,16,16,16,16,0
puertorican_match_interrogative-partial-wh_Cuando-vendia-el-carro,10,10,10,10,0
puertorican_match_interrogative-partial-wh_Por-que-abre-el-regalo,17,17,17,17,0
puertorican_match_interrogative-partial-wh_Por-que-ama-la-navidad,1,1,1,1,0
puertorican_match_interrogative-partial-wh_Por-que-hablaba-del-agua,14,14,14,14,0
puertorican_match_interrogative-partial-wh_Por-que-iba-a-Bolivia,12,12,12,12,0
puertorican_match_interrogative-total-yn_Ana-lleva-el-abrigo,1,1,1,1,0
puertorican_match_interrogative-total-yn_Daniel-iba-a-Bolivia,18,18,18,18,0
puertorican_match_interrogative-total-yn_David-leia-el-libro,16,16,16,16,0
puertorican_match_interrogative-total-yn_Emilio-ama-la-marcha,1,1,1,1,0
puertorican_match_interrogative-total-yn_Manuela-vende-el-carro,13,13,13,13,0
puertorican_match_interrogative-total-yn_Maria-bebe-el-vino,20,20,20,20,0
puertorican_match_interrogative-total-yn_Mariano-habla-del-tiempo,1,1,1,1,0
puertorican_match_interrogative-total-yn_Marta-abre-el-regalo,13,13,13,13,0
puertorican_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien,16,16,16,16,0
puertorican_mismatch_declarative-broad-focus_El-hombre-mira-la-luna,14,14,14,14,0
puertorican_mismatch_declarative-broad-focus_El-nino-oye-el-rio,19,19,19,19,0
puertorican_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris,10,10,10,10,0
puertorican_mismatch_declarative-broad-focus_La-nina-lava-el-plato,3,3,3,3,0
puertorican_mismatch_declarative-broad-focus_Mi-madre-come-la-fruta,1,1,1,1,0
puertorican_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago,20,20,20,20,0
puertorican_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia,14,14,14,14,0
puertorican_mismatch_declarative-narrow-focus_El-bebe-comia-muy-bien,16,16,16,16,0
puertorican_mismatch_declarative-narrow-focus_El-hombre-mira-la-luna,12,12,12,12,0
puertorican_mismatch_declarative-narrow-focus_El-nino-oye-el-rio,14,14,14,14,0
puertorican_mismatch_declarative-narrow-focus_La-maestra-vive-en-Paris,1,1,1,1,0
puertorican_mismatch_declarative-narrow-focus_La-nina-lava-el-plato,11,11,11,11,0
puertorican_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta,1,1,1,1,0
puertorican_mismatch_declarative-narrow-focus_Mi-novio-viene-del-lago,16,16,16,16,0
puertorican_mismatch_declarative-narrow-focus_Mi-tia-odia-la-lluvia,18,18,18,18,0
puertorican_mismatch_interrogative-partial-wh_Cuando-comia-la-fruta,1,1,1,1,0
puertorican_mismatch_interrogative-partial-wh_Cuando-lavaba-el-plato,13,13,13,13,0
puertorican_mismatch_interrogative-partial-wh_Cuando-miraba-la-luna,16,16,16,16,0
puertorican_mismatch_interrogative-partial-wh_Por-que-desayuna-muy-bien,15,15,15,15,0
puertorican_mismatch_interrogative-partial-wh_Por-que-odiaba-la-lluvia,13,13,13,13,0
puertorican_mismatch_interrogative-partial-wh_Por-que-oia-el-rio,9,9,9,9,0
puertorican_mismatch_interrogative-partial-wh_Por-que-venia-del-lago,14,14,14,14,0
puertorican_mismatch_interrogative-partial-wh_Por-que-vivia-en-Paris,10,10,10,10,0
puertorican_mismatch_interrogative-total-yn_El-bebe-comia-muy-bien,15,15,15,15,0
puertorican_mismatch_interrogative-total-yn_El-hombre-mira-la-luna,1,1,1,1,0
puertorican_mismatch_interrogative-total-yn_El-nino-oye-el-rio,16,16,16,16,0
puertorican_mismatch_interrogative-total-yn_La-maestra-vive-en-Paris,2,2,2,2,0
puertorican_mismatch_interrogative-total-yn_La-nina-lava-el-plato,4,4,4,4,0
puertorican_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta,4,4,4,4,0
puertorican_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago,14,14,14,14,0
puertorican_mismatch_interrogative-total-yn_Mi-tia-odia-la-lluvia,14,14,14,14,0
puertorican_statement_filler_La-nina-pinta-con-su-amiga,1,1,1,1,0
