instructions_text,continue_text,stim,word,correct_response,prac_button_real,prac_button_false,button_real,button_false,item_num,item,is_test_item,is_distractor,is_agree_score,is_disagree_score,lextale_instructions_loop.thisRepN,lextale_instructions_loop.thisTrialN,lextale_instructions_loop.thisN,lextale_instructions_loop.thisIndex,lextale_practice_trials.thisRepN,lextale_practice_trials.thisTrialN,lextale_practice_trials.thisN,lextale_practice_trials.thisIndex,lextail_trials.thisRepN,lextail_trials.thisTrialN,lextail_trials.thisN,lextail_trials.thisIndex,eq_trials.thisRepN,eq_trials.thisTrialN,eq_trials.thisN,eq_trials.thisIndex,key_resp_lextale_practice.keys,key_resp_lextale_practice.corr,key_resp_lextale_practice.rt,key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,slider_eq_trial.response,participant,session,date,expName,psychopyVersion,frameRate,
"Este es un test de vocabulario en español. 
  
  A continuación vas a ver 90 secuencias de letras que parecen 'españolas'.
  
  Solo algunas de ellas son palabras de verdad.",(presiona la barra espaciadora para continuar),,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
"Por favor, señala las palabras que tú conoces (aquellas que estás convencido que son palabras españolas, incluso aunque no seas capaz de dar el significado preciso).",(presiona la barra espaciadora para continuar),,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
Pero cuidado: los errores se penalizan. Por eso no tiene sentido tratar de incrementar tu puntuación marcando como reales palabras que nunca has visto.,(presiona la barra espaciadora para continuar),,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
"Presiona la tecla 1 si piensas que es una palabra real y la tecla 
  0 si piensas que es una palabra falsa. 
  
  Vamos a practicar un poco...",(presiona la barra espaciadora para continuar),,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,0,depiste,0,REAL,FALSA,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,1,14.993598764995113,,,,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,0,sí,1,REAL,FALSA,,,,,,,,,,,,,0,1,1,1,,,,,,,,,0,0,5.664107921998948,,,,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,0,coné,0,REAL,FALSA,,,,,,,,,,,,,0,2,2,2,,,,,,,,,0,1,1.8184811599785462,,,,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,0,calpar,0,REAL,FALSA,,,,,,,,,,,,,0,3,3,3,,,,,,,,,0,1,0.45511554402764887,,,,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,0,joten,0,REAL,FALSA,,,,,,,,,,,,,0,4,4,4,,,,,,,,,0,1,0.8744472760008648,,,,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,0,sacapuntas,1,REAL,FALSA,,,,,,,,,,,,,0,5,5,5,,,,,,,,,1,1,0.6372248970437795,,,,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,0,priba,0,REAL,FALSA,,,,,,,,,,,,,0,6,6,6,,,,,,,,,0,1,1.8250735049368814,,,,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,0,pelasula,0,REAL,FALSA,,,,,,,,,,,,,0,7,7,7,,,,,,,,,0,1,0.45064680406358093,,,,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,0,bien,1,REAL,FALSA,,,,,,,,,,,,,0,8,8,8,,,,,,,,,1,1,0.6370328939519823,,,,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,0,casa,1,REAL,FALSA,,,,,,,,,,,,,0,9,9,9,,,,,,,,,1,1,0.5825971539597958,,,,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,0,lejo,0,REAL,FALSA,,,,,,,,,,,,,0,10,10,10,,,,,,,,,0,1,0.6524126150179654,,,,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,0,pretantas,0,REAL,FALSA,,,,,,,,,,,,,0,11,11,11,,,,,,,,,0,1,0.8330354719655588,,,,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,27,acutación,0,,,REAL,FALSA,,,,,,,,,,,,,,,0,0,0,26,,,,,,,,0,1,3.629346741945483,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,18,arsa,0,,,REAL,FALSA,,,,,,,,,,,,,,,0,1,1,17,,,,,,,,0,1,2.008639682084322,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,64,orgulloso,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,2,2,63,,,,,,,,1,1,0.25921271194238216,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,70,temblo,0,,,REAL,FALSA,,,,,,,,,,,,,,,0,3,3,69,,,,,,,,0,1,-0.0076747979037463665,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,16,abracer,0,,,REAL,FALSA,,,,,,,,,,,,,,,0,4,4,15,,,,,,,,1,0,-0.2755293280351907,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,48,ladrón,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,5,5,47,,,,,,,,1,1,-0.4845385679509491,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,35,rompido,0,,,REAL,FALSA,,,,,,,,,,,,,,,0,6,6,34,,,,,,,,0,1,-0.36485464009456336,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,6,tergiversar,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,7,7,5,,,,,,,,1,1,-0.477997392998077,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,71,polvoriento,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,8,8,70,,,,,,,,1,1,-0.3989038319559768,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,76,atar,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,9,9,75,,,,,,,,1,1,-0.41449309105519205,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,23,lampera,0,,,REAL,FALSA,,,,,,,,,,,,,,,0,10,10,22,,,,,,,,0,1,-0.22752362105529755,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,65,bizcocho,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,11,11,64,,,,,,,,1,1,-0.40556576603557914,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,79,tropaje,0,,,REAL,FALSA,,,,,,,,,,,,,,,0,12,12,78,,,,,,,,1,0,-0.2545347730629146,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,90,clavel,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,13,13,89,,,,,,,,0,0,-0.44857680902350694,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,10,antar,0,,,REAL,FALSA,,,,,,,,,,,,,,,0,14,14,9,,,,,,,,0,1,-0.2991446809610352,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,86,barato,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,15,15,85,,,,,,,,1,1,-0.47129730496089906,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,87,grodo,0,,,REAL,FALSA,,,,,,,,,,,,,,,0,16,16,86,,,,,,,,1,0,-0.22377425199374557,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,43,canela,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,17,17,42,,,,,,,,0,0,-0.25738963403273374,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,63,esposante,0,,,REAL,FALSA,,,,,,,,,,,,,,,0,18,18,62,,,,,,,,1,0,-0.26487495098263025,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,72,pemición,0,,,REAL,FALSA,,,,,,,,,,,,,,,0,19,19,71,,,,,,,,0,1,-0.2203388710040599,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,46,martillo,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,20,20,45,,,,,,,,1,1,0.3424595429096371,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,37,granuja,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,21,21,36,,,,,,,,0,0,0.24730698904022574,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,83,guante,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,22,22,82,,,,,,,,1,1,0.15817931294441223,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,32,fatacidad,0,,,REAL,FALSA,,,,,,,,,,,,,,,0,23,23,31,,,,,,,,0,1,0.14876193995587528,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,8,cadeña,0,,,REAL,FALSA,,,,,,,,,,,,,,,0,24,24,7,,,,,,,,1,0,0.09657120401971042,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,75,yacer,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,25,25,74,,,,,,,,0,0,0.2908121399814263,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,34,aviso,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,26,26,33,,,,,,,,1,1,1.253751915995963,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,53,vegada,0,,,REAL,FALSA,,,,,,,,,,,,,,,0,27,27,52,,,,,,,,0,1,1.3941276839468628,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,38,estornudar,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,28,28,37,,,,,,,,1,1,0.24632760707754642,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,62,flaco,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,29,29,61,,,,,,,,0,0,0.2592714700149372,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,67,cabello,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,30,30,66,,,,,,,,1,1,0.2546361010754481,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,30,alardio,0,,,REAL,FALSA,,,,,,,,,,,,,,,0,31,31,29,,,,,,,,0,1,0.07398374599870294,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,25,bisagra,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,32,32,24,,,,,,,,1,1,0.1573292709654197,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,69,engatusar,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,33,33,68,,,,,,,,0,0,0.11183472804259509,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,49,ganar,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,34,34,48,,,,,,,,1,1,0.25846098898909986,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,24,látigo,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,35,35,23,,,,,,,,0,0,0.07981461100280285,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,33,pauca,0,,,REAL,FALSA,,,,,,,,,,,,,,,0,36,36,32,,,,,,,,1,0,0.07403386302758008,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,15,regar,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,37,37,14,,,,,,,,0,0,0.08011465205345303,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,60,matar,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,38,38,59,,,,,,,,1,1,0.10087783902417868,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,55,nevar,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,39,39,54,,,,,,,,0,0,0.0614594939397648,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,22,lacayo,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,40,40,21,,,,,,,,1,1,0.2154425010085106,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,80,hormiga,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,41,41,79,,,,,,,,0,0,0.6883618299616501,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,45,jilguero,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,42,42,44,,,,,,,,1,1,0.556979414075613,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,19,brecedad,0,,,REAL,FALSA,,,,,,,,,,,,,,,0,43,43,18,,,,,,,,0,1,0.2608601580141112,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,54,fomentar,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,44,44,53,,,,,,,,1,1,0.41178549895994365,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,51,candado,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,45,45,50,,,,,,,,0,0,1.0822107100393623,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,52,camisa,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,46,46,51,,,,,,,,1,1,0.562841319013387,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,81,pozo,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,47,47,80,,,,,,,,0,0,0.3171813020016998,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,17,floroso,0,,,REAL,FALSA,,,,,,,,,,,,,,,0,48,48,16,,,,,,,,0,1,0.43218247103504837,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,36,loro,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,49,49,35,,,,,,,,1,1,0.18928240390960127,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,5,zapato,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,50,50,4,,,,,,,,0,0,-0.0014700479805469513,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,11,cenefa,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,51,51,10,,,,,,,,1,1,0.010526512982323766,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,61,seda,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,52,52,60,,,,,,,,0,0,0.3067473160335794,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,77,tiburón,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,53,53,76,,,,,,,,1,1,0.2783856780733913,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,74,cintro,0,,,REAL,FALSA,,,,,,,,,,,,,,,0,54,54,73,,,,,,,,0,1,0.29677797004114836,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,89,prisa,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,55,55,88,,,,,,,,1,1,0.27391608408652246,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,28,merodear,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,56,56,27,,,,,,,,0,0,0.29445750697050244,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,7,pésimo,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,57,57,6,,,,,,,,1,1,0.25151685695163906,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,88,acantilado,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,58,58,87,,,,,,,,0,0,0.25276139995548874,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,73,hervidor,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,59,59,72,,,,,,,,1,1,0.23709104000590742,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,20,ávido,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,60,60,19,,,,,,,,0,0,0.2389664240181446,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,39,torpe,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,61,61,38,,,,,,,,1,1,0.2660190409515053,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,85,laúd,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,62,62,84,,,,,,,,0,0,0.18660474894568324,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,2,pellizcar,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,63,63,1,,,,,,,,1,1,0.24069482099730521,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,44,cuchara,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,64,64,43,,,,,,,,0,0,0.2027400489896536,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,29,decar,0,,,REAL,FALSA,,,,,,,,,,,,,,,0,65,65,28,,,,,,,,1,0,0.18666627001948655,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,66,hacido,0,,,REAL,FALSA,,,,,,,,,,,,,,,0,66,66,65,,,,,,,,0,1,0.08883958996739239,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,21,capillo,0,,,REAL,FALSA,,,,,,,,,,,,,,,0,67,67,20,,,,,,,,1,0,0.14475086191669106,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,12,asesinato,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,68,68,11,,,,,,,,0,0,0.09487810300197452,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,58,plaudir,0,,,REAL,FALSA,,,,,,,,,,,,,,,0,69,69,57,,,,,,,,1,0,0.11958374094683677,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
,,40,alfombra,1,,,REAL,FALSA,,,,,,,,,,,,,,,0,70,70,39,,,,,,,,0,0,0.07735571602825075,,,001,2020_Oct_23_1508,empathy_intonation_perc,2020.2.4,60.113834705571996,
